date,latitude,longitude,wind_speed,cloud_cover,precipitation_probability,pressure_surface_level,dew_point,uv_index,heatwave,visibility,rainfall,solar_radiation,snowfall,max_temperature,min_temperature,max_humidity,min_humidity,data_source,verified
2026-02-20T11:37:20.826136,12.9716,77.5946,14,3,96,1003,30,9,0.0,6,9.291110468984922,931,0.0,44,39,71,27,auto_collected_Test_Location_Day6,False
2026-02-20T11:37:20.827469,28.6139,72.8777,22,20,21,1007,16,8,1.0,9,3.956460922001578,435,0.0,42,33,55,17,auto_collected_Test_Location_Day6,False
2026-02-20T11:37:20.828900,12.9716,77.209,17,86,68,1010,25,10,1.0,5,6.458725376099222,406,0.0,45,39,55,26,auto_collected_Test_Location_Day7,False
2026-02-20T11:37:20.831430,28.6139,77.209,20,90,84,1003,25,8,0.0,5,0,845,0.0,32,21,87,23,auto_collected_Test_Location_Day7,False
2026-02-20T11:37:20.834079,19.076,77.209,12,22,30,1007,18,9,0.0,5,0,817,0.0,41,35,66,16,auto_collected_Test_Location_Day7,False
2026-02-20T11:37:20.836527,12.9716,72.8777,5,22,64,1009,30,9,0.0,8,0,668,0.0,37,27,78,35,auto_collected_Test_Location_Day7,False
2026-02-20T11:40:10.954343,28.6139,77.209,23,38,45,998,16,7,1.0,5,0,921,0.0,41,26,52,36,auto_collected_Delhi,False
2026-02-20T11:40:10.959700,19.076,72.8777,28,50,0,996,32,11,0.0,10,0,782,0.0,37,26,67,34,auto_collected_Mumbai,False
2026-02-20T11:40:10.961548,12.9716,77.5946,21,82,99,1000,20,4,0.0,6,0,701,0.0,31,18,74,19,auto_collected_Bangalore,False
2026-02-20T11:40:10.963108,13.0827,80.2707,9,99,56,1005,18,5,0.0,8,1.2467506735369105,756,0.0,36,27,95,17,auto_collected_Chennai,False
2026-02-20T11:40:10.964941,22.5726,88.3639,5,9,36,1009,22,5,0.0,9,0,845,0.0,33,24,70,35,auto_collected_Kolkata,False
2026-02-20T11:40:10.966406,17.385,78.4867,21,5,12,1009,23,11,0.0,8,0,658,0.0,26,11,57,36,auto_collected_Hyderabad,False
2026-02-20T11:40:10.967848,18.5204,73.8567,11,81,85,999,17,3,0.0,9,0,654,0.0,25,14,80,41,auto_collected_Pune,False
2026-02-20T11:40:10.969314,23.0225,72.5714,27,25,68,1014,27,11,0.0,6,0,813,0.0,35,24,74,45,auto_collected_Ahmedabad,False
2026-02-20T11:41:23.354973,18.5204,73.8567,7,66,26,1016,32,8,0.0,10,0,771,0.0,37,25,57,23,auto_collected_Pune,False
2026-02-20T11:41:23.359199,19.076,72.8777,8,13,63,1009,28,3,0.0,7,0,451,0.0,32,20,88,33,auto_collected_Mumbai,False
2026-02-20T11:41:23.361177,12.9716,77.5946,27,10,7,1006,30,9,0.0,9,10.884403721985372,674,0.0,25,16,76,43,auto_collected_Bangalore,False
2026-02-20T11:41:23.362687,13.0827,80.2707,20,13,35,1004,23,11,0.0,9,0,762,0.0,39,30,52,29,auto_collected_Chennai,False
2026-02-20T11:41:23.364000,22.5726,88.3639,24,29,55,998,19,10,0.0,6,0.6981948599395504,799,0.0,31,23,54,31,auto_collected_Kolkata,False
2026-02-20T11:41:23.365177,17.385,78.4867,12,30,19,1017,15,5,0.0,9,0,893,0.0,28,20,66,32,auto_collected_Hyderabad,False
2026-02-20T11:41:23.366460,28.6139,77.209,16,88,21,1004,18,9,0.0,6,0,609,0.0,41,28,62,23,auto_collected_Delhi,False
2026-02-20T11:41:23.367891,23.0225,72.5714,22,99,94,1010,18,5,0.0,6,0,535,0.0,40,29,94,34,auto_collected_Ahmedabad,False
2026-02-21T15:10:18.876597,18.5204,73.8567,14,64,22,1008,18,4,0.0,8,0,693,0.0,35,25,95,18,auto_collected_Pune,False
2026-02-21T15:10:18.907817,19.076,72.8777,6,30,4,1007,30,10,0.0,6,0.6293632431659019,922,0.0,33,20,51,22,auto_collected_Mumbai,False
2026-02-21T15:10:18.913650,12.9716,77.5946,12,79,88,1016,15,3,0.0,5,0,844,0.0,24,12,79,39,auto_collected_Bangalore,False
2026-02-21T15:10:18.920011,13.0827,80.2707,26,95,25,998,21,7,0.0,7,0,474,0.0,29,21,60,19,auto_collected_Chennai,False
2026-02-21T15:10:18.922458,22.5726,88.3639,19,14,2,1009,22,8,0.0,8,0,722,0.0,37,25,58,41,auto_collected_Kolkata,False
2026-02-21T15:10:18.928276,17.385,78.4867,27,100,11,995,32,7,0.0,8,0,495,0.0,38,23,84,19,auto_collected_Hyderabad,False
2026-02-21T15:10:18.930468,28.6139,77.209,8,33,89,1008,23,6,0.0,5,0,887,0.0,35,26,53,24,auto_collected_Delhi,False
2026-02-21T15:10:18.936400,23.0225,72.5714,15,18,91,1006,15,7,0.0,9,11.686208982366457,700,0.0,29,18,94,43,auto_collected_Ahmedabad,False
