Fire_Date,Fire_Time,Source_Type,Lat,Lon,State,District,Circle,Division,Range,Block,Beat,Compartment_No
2026-02-20,00:45:13,SNPP,24.49743,92.88865,ASSAM,CACHAR,,,,,,
2026-02-20,00:45:13,SNPP,24.79019,93.76884,MANIPUR,KANGPOKPI,SOUTHERN FOREST CIRCLE,BISHNUPUR DIVISION,BISHNUPUR RANGE,LEIMARAM BLOCK,LEIMARAM BEAT,
2026-02-20,00:45:13,SNPP,24.79019,93.76884,MANIPUR,KANGPOKPI,NORTHERN FOREST CIRCLE,NFD KANGPOKPI DIVISION,MOTBUNG RANGE,KANGCHUP BLOCK,KANGCHUP BEAT,
2026-02-20,00:45:13,SNPP,24.89759,93.80196,MANIPUR,KANGPOKPI,NORTHERN FOREST CIRCLE,NFD KANGPOKPI DIVISION,MOTBUNG RANGE,KANGCHUP BLOCK,KANGCHUP BEAT,
2026-02-20,00:45:13,SNPP,25.05282,93.73966,MANIPUR,TAMENGLONG,WESTERN FOREST CIRCLE,WESTERN FD TAMENGLONG DIVISION,TAMEI RANGE,TAMAH BLOCK,TAMAH BEAT,
2026-02-20,00:45:13,SNPP,25.1038,94.31075,MANIPUR,UKHRUL,EASTERN FOREST CIRCLE,EFD UKHRUL DIVISION,UKHRUL RANGE,UKHRUL BLOCK,UKHRUL BEAT,
2026-02-20,00:45:13,SNPP,25.10466,94.31217,MANIPUR,UKHRUL,EASTERN FOREST CIRCLE,EFD UKHRUL DIVISION,UKHRUL RANGE,UKHRUL BLOCK,UKHRUL BEAT,
2026-02-20,00:45:13,SNPP,25.10982,93.72023,MANIPUR,TAMENGLONG,WESTERN FOREST CIRCLE,WESTERN FD TAMENGLONG DIVISION,TAMEI RANGE,TAMAH BLOCK,TAMAH BEAT,
2026-02-20,00:45:13,SNPP,25.11383,93.72062,MANIPUR,TAMENGLONG,WESTERN FOREST CIRCLE,WESTERN FD TAMENGLONG DIVISION,TAMEI RANGE,TAMAH BLOCK,TAMAH BEAT,
2026-02-20,00:45:13,SNPP,25.17627,93.85432,MANIPUR,KANGPOKPI,NORTHERN FOREST CIRCLE,NFD KANGPOKPI DIVISION,T.WAICHONG RANGE,T WAICHONG BLOCK,T WAICHONG BEAT,
2026-02-20,00:45:13,SNPP,25.18591,94.47427,MANIPUR,UKHRUL,EASTERN FOREST CIRCLE,EFD UKHRUL DIVISION,JESSAMI RANGE,KHAMASOM BLOCK,KHAMASOM BEAT,
2026-02-20,00:45:13,SNPP,25.18803,94.4761,MANIPUR,UKHRUL,EASTERN FOREST CIRCLE,EFD UKHRUL DIVISION,JESSAMI RANGE,KHAMASOM BLOCK,KHAMASOM BEAT,
2026-02-20,00:45:13,SNPP,25.18812,93.75536,MANIPUR,TAMENGLONG,WESTERN FOREST CIRCLE,WESTERN FD TAMENGLONG DIVISION,TAMEI RANGE,TAMAH BLOCK,TAMAH BEAT,
2026-02-20,00:45:13,SNPP,25.20261,93.76987,MANIPUR,TAMENGLONG,WESTERN FOREST CIRCLE,WESTERN FD TAMENGLONG DIVISION,TAMEI RANGE,TAMAH BLOCK,TAMAH BEAT,
2026-02-20,00:45:13,SNPP,25.20654,93.77094,MANIPUR,TAMENGLONG,WESTERN FOREST CIRCLE,WESTERN FD TAMENGLONG DIVISION,TAMEI RANGE,TAMAH BLOCK,TAMAH BEAT,
2026-02-20,00:45:13,SNPP,25.22286,91.75176,MEGHALAYA,EAST KHASI HILLS,SOCIAL FORESTRY AND ENVIRONMENT CIRCLE,SHILLONG DIVISION,SHELLA BHOLAGANJ C AND RD BLOCK,SHELLA BHOLAGANJ C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.23294,92.27413,MEGHALAYA,EAST JAINTIA HILLS,WILDLIFE CIRCLE,JOWAI DIVISION,KHLIERIAT C AND RD BLOCK,KHLIERIAT C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.233,92.27093,MEGHALAYA,EAST JAINTIA HILLS,WILDLIFE CIRCLE,JOWAI DIVISION,KHLIERIAT C AND RD BLOCK,KHLIERIAT C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.23345,92.26944,MEGHALAYA,EAST JAINTIA HILLS,WILDLIFE CIRCLE,JOWAI DIVISION,KHLIERIAT C AND RD BLOCK,KHLIERIAT C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.23918,92.1386,MEGHALAYA,WEST JAINTIA HILLS,SOCIAL FORESTRY AND ENVIRONMENT CIRCLE,JOWAI DIVISION,AMLAREM C AND RD BLOCK,AMLAREM C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.2649,92.50391,MEGHALAYA,EAST JAINTIA HILLS,TERRITORIAL CIRCLE,JOWAI DIVISION,SAIPUNG C AND RD BLOCK,SAIPUNG C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.26978,92.49944,MEGHALAYA,EAST JAINTIA HILLS,TERRITORIAL CIRCLE,JOWAI DIVISION,SAIPUNG C AND RD BLOCK,SAIPUNG C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.27582,92.71176,MEGHALAYA,EAST JAINTIA HILLS,TERRITORIAL CIRCLE,JOWAI DIVISION,SAIPUNG C AND RD BLOCK,SAIPUNG C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.27782,92.69465,MEGHALAYA,EAST JAINTIA HILLS,TERRITORIAL CIRCLE,JOWAI DIVISION,SAIPUNG C AND RD BLOCK,SAIPUNG C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.37412,92.19979,MEGHALAYA,WEST JAINTIA HILLS,SOCIAL FORESTRY AND ENVIRONMENT CIRCLE,JOWAI DIVISION,AMLAREM C AND RD BLOCK,AMLAREM C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.44198,94.05811,MANIPUR,SENAPATI,NORTHERN FOREST CIRCLE,SENAPATI DIVISION,KARONG RANGE,MARAM BLOCK,MARAM BEAT,
2026-02-20,00:45:13,SNPP,25.4425,93.98986,MANIPUR,SENAPATI,NORTHERN FOREST CIRCLE,SENAPATI DIVISION,KARONG RANGE,MARAM BLOCK,MARAM BEAT,
2026-02-20,00:45:13,SNPP,25.48154,94.12199,MANIPUR,SENAPATI,NORTHERN FOREST CIRCLE,SENAPATI DIVISION,KARONG RANGE,TADUBI BLOCK,TADUBI BEAT,
2026-02-20,00:45:13,SNPP,25.48154,94.12199,MANIPUR,SENAPATI,NORTHERN FOREST CIRCLE,SENAPATI DIVISION,KARONG RANGE,TADUBI BLOCK,TADUBI BEAT,
2026-02-20,00:45:13,SNPP,25.50347,94.20216,MANIPUR,SENAPATI,NORTHERN FOREST CIRCLE,SENAPATI DIVISION,KARONG RANGE,TADUBI BLOCK,TADUBI BEAT,
2026-02-20,00:45:13,SNPP,25.53896,94.20443,NAGALAND,PHEK,,,,,,
2026-02-20,00:45:13,SNPP,25.55327,94.18562,NAGALAND,KOHIMA,,,,,,
2026-02-20,00:45:13,SNPP,25.5572,92.51636,MEGHALAYA,WEST JAINTIA HILLS,TERRITORIAL CIRCLE,JOWAI DIVISION,LASKEIN C AND RD BLOCK,LASKEIN C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.67278,91.65627,MEGHALAYA,EASTERN WEST KHASI HILLS,SOCIAL FORESTRY AND ENVIRONMENT CIRCLE,NONGSTOIN DIVISION,MAIRANG C AND RD BLOCK,MAIRANG C AND RD BLOCK,,
2026-02-20,00:45:13,SNPP,25.68892,93.76369,NAGALAND,PEREN,,,,,,
2026-02-20,00:45:13,SNPP,25.83021,94.09531,NAGALAND,KOHIMA,,,,,,
2026-02-20,00:45:13,SNPP,26.14841,94.61055,NAGALAND,ZUNHEBOTO,,,,,,
2026-02-20,00:45:13,SNPP,26.15217,94.61185,NAGALAND,ZUNHEBOTO,,,,,,
2026-02-20,00:45:13,SNPP,26.18925,91.80784,ASSAM,KAMRUP METRO,,,,,,
2026-02-20,00:45:13,SNPP,26.30074,93.16296,ASSAM,KARBI ANGLONG,,,,,,
2026-02-20,00:45:13,SNPP,26.50622,93.12447,ASSAM,KARBI ANGLONG,,,,,,
2026-02-20,00:45:13,SNPP,26.52411,90.5337,ASSAM,"""CHIRANG",,,,,,
2026-02-20,00:45:13,SNPP,26.69467,90.86427,ASSAM,"""CHIRANG",,,,,,
2026-02-20,00:45:13,SNPP,26.69954,90.86498,ASSAM,"""CHIRANG",,,,,,
2026-02-20,00:45:13,SNPP,26.70011,90.85903,ASSAM,"""CHIRANG",,,,,,
2026-02-20,00:45:13,SNPP,26.70985,91.10946,ASSAM,"""BAKSA",,,,,,
2026-02-20,00:45:13,SNPP,26.73594,90.99515,ASSAM,"""BAKSA",,,,,,
2026-02-20,00:45:13,SNPP,26.74183,90.93626,ASSAM,"""BAKSA",,,,,,
2026-02-20,00:45:13,SNPP,26.74445,90.93636,ASSAM,"""BAKSA",,,,,,
2026-02-20,00:45:13,SNPP,26.74494,94.82142,NAGALAND,MON,,,,,,
2026-02-20,00:45:13,SNPP,26.74643,94.82346,NAGALAND,MON,,,,,,
2026-02-20,00:45:13,SNPP,26.77265,94.50784,ASSAM,JORHAT,,,,,,
2026-02-20,00:45:13,SNPP,26.84603,95.19915,ARUNACHAL PRADESH,LONGDING,,,,,,
2026-02-20,00:45:13,SNPP,26.84603,95.19915,NAGALAND,MON,,,,,,
2026-02-20,00:45:13,SNPP,26.91789,95.05756,NAGALAND,MON,,,,,,
2026-02-20,00:45:13,SNPP,26.91969,95.55103,ARUNACHAL PRADESH,TIRAP,,,,,,
2026-02-20,00:45:13,SNPP,26.92452,92.28811,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,26.9352,92.29657,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,26.93731,92.29543,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,26.95304,93.29057,ASSAM,BISWANATH,,,,,,
2026-02-20,00:45:13,SNPP,26.9572,93.29156,ASSAM,BISWANATH,,,,,,
2026-02-20,00:45:13,SNPP,26.9572,93.29156,ARUNACHAL PRADESH,PAKKE KESSANG,,,,,,
2026-02-20,00:45:13,SNPP,26.95937,92.17706,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,26.96177,93.28888,ARUNACHAL PRADESH,PAKKE KESSANG,,,,,,
2026-02-20,00:45:13,SNPP,26.97765,93.63014,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,26.99113,95.32109,ARUNACHAL PRADESH,LONGDING,,,,,,
2026-02-20,00:45:13,SNPP,26.99793,95.32748,ARUNACHAL PRADESH,LONGDING,,,,,,
2026-02-20,00:45:13,SNPP,27.00165,95.32821,ARUNACHAL PRADESH,LONGDING,,,,,,
2026-02-20,00:45:13,SNPP,27.03581,93.43166,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.05435,93.52976,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.07471,95.63662,ARUNACHAL PRADESH,TIRAP,,,,,,
2026-02-20,00:45:13,SNPP,27.07665,95.63501,ARUNACHAL PRADESH,TIRAP,,,,,,
2026-02-20,00:45:13,SNPP,27.07832,93.50454,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.08515,93.80321,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.08732,93.57236,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.11238,93.77245,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.14378,95.7121,ARUNACHAL PRADESH,CHANGLANG,,,,,,
2026-02-20,00:45:13,SNPP,27.17104,92.29446,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.17145,92.29047,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.17546,92.29558,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.18026,92.29317,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.18377,93.83667,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.1919,93.83799,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.22969,92.99106,ARUNACHAL PRADESH,EAST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.22969,92.99106,ARUNACHAL PRADESH,PAKKE KESSANG,,,,,,
2026-02-20,00:45:13,SNPP,27.25259,96.90255,ARUNACHAL PRADESH,CHANGLANG,,,,,,
2026-02-20,00:45:13,SNPP,27.26107,92.49314,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.26409,93.924,ASSAM,LAKHIMPUR,,,,,,
2026-02-20,00:45:13,SNPP,27.26409,93.924,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.28605,93.80847,ARUNACHAL PRADESH,PAPUMPARE,,,,,,
2026-02-20,00:45:13,SNPP,27.29632,92.66445,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.31656,95.26893,ASSAM,DIBRUGARH,,,,,,
2026-02-20,00:45:13,SNPP,27.3294,95.88022,ASSAM,TINSUKIA,,,,,,
2026-02-20,00:45:13,SNPP,27.37584,92.26542,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.37626,92.26149,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.37729,95.0858,ASSAM,DIBRUGARH,,,,,,
2026-02-20,00:45:13,SNPP,27.37791,92.26303,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.37833,92.25896,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.38283,92.25959,ARUNACHAL PRADESH,WEST KAMENG,,,,,,
2026-02-20,00:45:13,SNPP,27.41171,93.78951,ARUNACHAL PRADESH,KEYI PANYOR,,,,,,
2026-02-20,00:45:13,SNPP,27.41473,93.78963,ARUNACHAL PRADESH,KEYI PANYOR,,,,,,
2026-02-20,00:45:13,SNPP,27.44004,92.73238,ARUNACHAL PRADESH,BICHOM,,,,,,
2026-02-20,00:45:13,SNPP,27.44046,92.72845,ARUNACHAL PRADESH,BICHOM,,,,,,
2026-02-20,00:45:13,SNPP,27.48225,93.78214,ARUNACHAL PRADESH,KEYI PANYOR,,,,,,
2026-02-20,00:45:13,SNPP,27.48821,93.69445,ARUNACHAL PRADESH,KEYI PANYOR,,,,,,
2026-02-20,00:45:13,SNPP,27.50314,92.51559,ARUNACHAL PRADESH,BICHOM,,,,,,
2026-02-20,00:45:13,SNPP,27.51151,91.68118,ARUNACHAL PRADESH,TAWANG,,,,,,
2026-02-20,00:45:13,SNPP,27.5122,91.67442,ARUNACHAL PRADESH,TAWANG,,,,,,
2026-02-20,00:45:13,SNPP,27.51684,91.67538,ARUNACHAL PRADESH,TAWANG,,,,,,
2026-02-20,00:45:13,SNPP,27.55858,96.20007,ARUNACHAL PRADESH,CHANGLANG,,,,,,
2026-02-20,00:45:13,SNPP,27.57492,96.15983,ARUNACHAL PRADESH,CHANGLANG,,,,,,
2026-02-20,00:45:13,SNPP,27.58566,93.70297,ARUNACHAL PRADESH,KEYI PANYOR,,,,,,
2026-02-20,00:45:13,SNPP,27.60587,96.25985,ARUNACHAL PRADESH,NAMSAI,,,,,,
2026-02-20,00:45:13,SNPP,27.60948,96.26041,ARUNACHAL PRADESH,NAMSAI,,,,,,
2026-02-20,00:45:13,SNPP,27.61308,96.26097,ARUNACHAL PRADESH,NAMSAI,,,,,,
2026-02-20,00:45:13,SNPP,27.61868,94.57178,ARUNACHAL PRADESH,LOWER SIANG,,,,,,
2026-02-20,00:45:13,SNPP,27.62257,94.57265,ARUNACHAL PRADESH,LOWER SIANG,,,,,,
2026-02-20,00:45:13,SNPP,27.73436,93.94527,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.73748,93.95428,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.7379,93.95061,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.75479,94.09032,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.75564,94.08306,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.75608,94.07932,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.75858,94.02239,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.75868,94.09225,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.75905,94.01833,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.75924,96.36709,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.75953,94.08496,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.75996,94.08134,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.7626,94.09391,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.76389,94.08291,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.76659,94.09495,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.767,94.09147,ARUNACHAL PRADESH,KAMLE,,,,,,
2026-02-20,00:45:13,SNPP,27.76968,96.31557,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.77153,96.30161,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.77451,96.30688,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.77512,96.30221,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.7781,96.30747,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.80259,95.02148,ARUNACHAL PRADESH,LOWER SIANG,,,,,,
2026-02-20,00:45:13,SNPP,27.80319,95.01654,ARUNACHAL PRADESH,LOWER SIANG,,,,,,
2026-02-20,00:45:13,SNPP,27.80516,95.02003,ARUNACHAL PRADESH,LOWER SIANG,,,,,,
2026-02-20,00:45:13,SNPP,27.82266,96.27675,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.8805,96.34557,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.88083,96.85276,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,27.88111,96.34088,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,27.88145,96.84832,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,27.88457,96.85217,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,27.88488,96.8495,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,27.92369,94.83537,ARUNACHAL PRADESH,LEPA RADA,,,,,,
2026-02-20,00:45:13,SNPP,27.92421,94.83665,ARUNACHAL PRADESH,LEPA RADA,,,,,,
2026-02-20,00:45:13,SNPP,27.96669,95.91434,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,,,,,,
2026-02-20,00:45:13,SNPP,27.96669,95.91434,ASSAM,TINSUKIA,,,,,,
2026-02-20,00:45:13,SNPP,27.9796,95.15401,ARUNACHAL PRADESH,EAST SIANG,,,,,,
2026-02-20,00:45:13,SNPP,27.99978,96.72088,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.05617,96.13924,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,28.05814,95.98186,ARUNACHAL PRADESH,LOHIT,,,,,,
2026-02-20,00:45:13,SNPP,28.08394,95.60301,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,,,,,,
2026-02-20,00:45:13,SNPP,28.14611,95.80958,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,,,,,,
2026-02-20,00:45:13,SNPP,28.1548,95.15771,ARUNACHAL PRADESH,SIANG,,,,,,
2026-02-20,00:45:13,SNPP,28.15857,95.15878,ARUNACHAL PRADESH,SIANG,,,,,,
2026-02-20,00:45:13,SNPP,28.17557,97.03493,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.17618,97.03057,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.17635,97.00329,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.17967,97.03119,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.18026,97.02701,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.18292,97.00764,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.18358,97.02966,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.18664,97.03257,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.18707,97.03033,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.18724,97.0283,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.18764,97.02614,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.18781,97.02416,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.1882,97.02204,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.19057,97.03095,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.19115,97.02668,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.19171,97.02261,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.19574,97.01937,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.19773,97.0051,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.21316,95.42627,ARUNACHAL PRADESH,EAST SIANG,,,,,,
2026-02-20,00:45:13,SNPP,28.21692,95.42694,ARUNACHAL PRADESH,EAST SIANG,,,,,,
2026-02-20,00:45:13,SNPP,28.21733,97.01865,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.21784,97.01495,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.22085,97.01917,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.22137,97.01536,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.22191,97.01146,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.22247,97.00734,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.22491,97.01566,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.22547,97.01159,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.23399,97.00176,ARUNACHAL PRADESH,ANJAW,,,,,,
2026-02-20,00:45:13,SNPP,28.23444,96.99857,ARUNACHAL PRADESH,ANJAW,,,,,,
